Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.5454216003418,35.4246891776911,26.90011689528922,29.051480080819935,855215656
1,2007-10-08,30.879331588745117,33.645368840548784,30.685222864632642,33.645368840548784,126671715
2,2007-10-09,32.982173919677734,33.273334876563496,29.229420508905978,30.89551235079529,116725709
3,2007-10-10,33.28949737548828,33.96887558934333,32.9983365375293,33.83946906605695,67931378
4,2007-10-11,37.00990676879883,38.82158101766896,32.99834518139679,38.82158101766896,106320954
5,2007-10-12,36.76726150512695,38.142191798388325,35.90995290573742,36.23346591591656,99410791
6,2007-10-15,37.2525520324707,37.754000113842736,36.92903883981591,37.52753912381298,41814972
7,2007-10-16,41.0538215637207,41.70085217174976,37.04225987667578,37.301068609545496,138614496
8,2007-10-17,44.25660705566406,45.29184642634732,34.32475013602845,36.88050514839878,204876259
9,2007-10-18,42.703739166259766,48.349044673798645,40.87589097789229,44.9683309293873,146617799
10,2007-10-19,42.55815505981445,44.288950833134855,40.43914185377529,41.73319411226879,110266491
11,2007-10-22,41.992027282714844,43.30225406598786,40.60091780667071,41.700866262868495,72253405
12,2007-10-23,44.98451232910156,45.388903743345445,43.02725525140456,43.02725525140456,74594921
13,2007-10-24,44.28895568847656,46.42414302665404,43.78750775058117,45.93886898859224,63055170
14,2007-10-25,44.19188690185547,45.22713029095661,39.03185262756155,42.78460442814567,34522489
15,2007-10-26,45.51829528808594,46.24619962855069,43.75514746378963,44.96832136456422,62370025
16,2007-10-29,46.44031524658203,47.556437156688446,46.03592388609813,46.26238480313995,43657697
17,2007-10-30,47.47555923461914,48.75343331041353,45.6800589480765,47.07116787115375,79921711
18,2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
19,2007-11-01,47.37849807739258,50.031306919488635,46.99028503889122,49.65926777878566,50632492
20,2007-11-02,48.23582458496094,48.52698995605722,45.29185378197742,45.66389744772749,32001693
21,2007-11-05,49.222530364990234,50.30630012567762,47.912299679528566,48.203464979360426,38833135
22,2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
23,2007-11-07,49.14164733886719,51.50329098122448,48.04170378472717,50.791564864040616,33593141
24,2007-11-08,48.30049514770508,49.610725236209404,47.23290416115362,47.879930065227285,27990521
25,2007-11-12,49.46516418457031,50.33865129046459,45.566828782844695,46.84470725481463,35153735
